SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE
Mayrimunia leucosticta,White-spotted Munia,sthmun3
Lonchura punctulata,Scaly-breasted Munia,nutman
Lonchura kelaarti,Black-throated Munia,bltmun1
Lonchura molucca,Black-faced Munia,blfmun1
Lonchura striata,White-rumped Munia,whrmun
Lonchura fuscans,Dusky Munia,dusmun1
Lonchura leucogastra,White-bellied Munia,whbmun1
Lonchura leucogastroides,Javan Munia,javmun1
Lonchura malacca,Tricolored Munia,trimun
Lonchura atricapilla,Chestnut Munia,chemun
Lonchura ferruginosa,White-capped Munia,whcmun1
Lonchura maja,White-headed Munia,whhmun1
Lonchura pallida,Pale-headed Munia,pahmun1
Lonchura grandis,Grand Munia,gramun1
Lonchura teerinki,Black-breasted Munia,blbmun1
Lonchura montana,Snow Mountain Munia,snmmun1
Lonchura monticola,Alpine Munia,alpmun1
Lonchura vana,Gray-banded Munia,gybmun1
Lonchura nevermanni,Gray-crowned Munia,gycmun1
Lonchura caniceps,Gray-headed Munia,gyhmun1
Lonchura spectabilis,Hooded Munia,hoomun1
Lonchura forbesi,New Ireland Munia,neimun1
Lonchura hunsteini,Mottled Munia,motmun1
Lonchura nigerrima,New Hanover Munia,nehmun1
Lonchura flaviprymna,Yellow-rumped Munia,yermun1
Lonchura quinticolor,Five-colored Munia,ficmun1
Lonchura castaneothorax,Chestnut-breasted Munia,chbmun1
Lonchura stygia,Black Munia,blamun1
Lonchura melaena,Bismarck Munia,bismun1
Chloebia gouldiae,Gouldian Finch,goufin3
Erythrura prasina,Pin-tailed Parrotfinch,pitpar1
Erythrura viridifacies,Green-faced Parrotfinch,grfpar1
Erythrura hyperythra,Tawny-breasted Parrotfinch,tabpar1
Erythrura psittacea,Red-throated Parrotfinch,retpar3
Erythrura pealii,Fiji Parrotfinch,fijpar1
Erythrura cyaneovirens,Royal Parrotfinch,roypar1
Erythrura kleinschmidti,Pink-billed Parrotfinch,pibpar1
Erythrura tricolor,Tricolored Parrotfinch,tripar1
Erythrura coloria,Red-eared Parrotfinch,reepar2
Erythrura papuana,Papuan Parrotfinch,pappar1
Erythrura trichroa,Blue-faced Parrotfinch,blfpar3
Nesocharis shelleyi,Shelley's Oliveback,fepoli1
Nesocharis ansorgei,White-collared Oliveback,whcoli1
Coccopygia quartinia,Yellow-bellied Waxbill,yebwax2
Coccopygia bocagei,Angola Waxbill,swewax1
Coccopygia melanotis,Swee Waxbill,swewax3
Mandingoa nitidula,Green-backed Twinspot,grbtwi1
Cryptospiza shelleyi,Shelley's Crimsonwing,shcwin1
Cryptospiza jacksoni,Dusky Crimsonwing,ducwin1
Cryptospiza salvadorii,Abyssinian Crimsonwing,abcwin1
Cryptospiza reichenovii,Red-faced Crimsonwing,rfcwin1
Parmoptila rubrifrons,Red-fronted Antpecker,refant1
Parmoptila woodhousei,Woodhouse's Antpecker,wooant1
Parmoptila jamesoni,Jameson's Antpecker,jamant1
Nigrita fusconotus,White-breasted Nigrita,whbneg2
Nigrita bicolor,Chestnut-breasted Nigrita,chbneg1
Nigrita canicapillus,Gray-headed Nigrita,gyhneg1
Nigrita luteifrons,Pale-fronted Nigrita,pafneg1
Delacourella capistrata,Gray-headed Oliveback,gyholi1
Brunhilda erythronotos,Black-faced Waxbill,blcwax1
Brunhilda charmosyna,Black-cheeked Waxbill,rerwax1
Glaucestrilda caerulescens,Lavender Waxbill,lavwax
Glaucestrilda perreini,Black-tailed Waxbill,bltwax1
Glaucestrilda thomensis,Cinderella Waxbill,cinwax1
Estrilda nonnula,Black-crowned Waxbill,blcwax2
Estrilda atricapilla,Black-headed Waxbill,blhwax1
Estrilda kandti,Kandt's Waxbill,kanwax1
Estrilda melpoda,Orange-cheeked Waxbill,orcwax
Estrilda poliopareia,Anambra Waxbill,anawax1
Estrilda paludicola,Fawn-breasted Waxbill,fabwax1
Estrilda astrild,Common Waxbill,comwax
Estrilda nigriloris,Black-lored Waxbill,blfwax1
Estrilda troglodytes,Black-rumped Waxbill,bkrwax
Estrilda rhodopyga,Crimson-rumped Waxbill,crrwax1
Estrilda rufibarba,Arabian Waxbill,arawax1
Ortygospiza atricollis,Quailfinch,quailf1
Paludipasser locustella,Locustfinch,locust3
Amadina fasciata,Cut-throat,cutthr1
Amadina erythrocephala,Red-headed Finch,rehfin1
Amandava formosa,Green Avadavat,grnava1
Amandava subflava,Zebra Waxbill,zebwax2
Amandava amandava,Red Avadavat,redava
Granatina ianthinogaster,Purple Grenadier,purgre2
Granatina granatina,Violet-eared Waxbill,viewax1
Uraeginthus angolensis,Southern Cordonbleu,bubcor1
Uraeginthus bengalus,Red-cheeked Cordonbleu,reccor
Uraeginthus cyanocephalus,Blue-capped Cordonbleu,blccor1
Spermophaga poliogenys,Grant's Bluebill,grablu1
Spermophaga haematina,Western Bluebill,wesblu1
Spermophaga ruficapilla,Red-headed Bluebill,rehblu1
Pyrenestes minor,Lesser Seedcracker,lessee1
Pyrenestes sanguineus,Crimson Seedcracker,crisee1
Pyrenestes ostrinus,Black-bellied Seedcracker,blbsee1
Pytilia melba,Green-winged Pytilia,grwpyt1
Pytilia afra,Orange-winged Pytilia,orwpyt1
Pytilia phoenicoptera,Red-winged Pytilia,rewpyt1
Pytilia lineata,Red-billed Pytilia,rebpyt1
Pytilia hypogrammica,Red-faced Pytilia,refpyt1
Euschistospiza dybowskii,Dybowski's Twinspot,dybtwi1
Euschistospiza cinereovinacea,Dusky Twinspot,dustwi1
Hypargos niveoguttatus,Red-throated Twinspot,pettwi1
Hypargos margaritatus,Pink-throated Twinspot,pittwi1
Clytospiza monteiri,Brown Twinspot,brotwi1
Lagonosticta senegala,Red-billed Firefinch,rebfir2
Lagonosticta rubricata,African Firefinch,afffin
Lagonosticta rhodopareia,Jameson's Firefinch,jamfir1
Lagonosticta virata,Mali Firefinch,malfir1
Lagonosticta sanguinodorsalis,Rock Firefinch,rocfir1
Lagonosticta umbrinodorsalis,Chad Firefinch,reifir1
Lagonosticta rara,Black-bellied Firefinch,blbfir1
Lagonosticta rufopicta,Bar-breasted Firefinch,babfir1
Lagonosticta nitidula,Brown Firefinch,brnfir1
Lagonosticta larvata,Black-faced Firefinch,bkffir1
Vidua macroura,Pin-tailed Whydah,pitwhy
Vidua orientalis,Sahel Paradise-Whydah,nopwhy1
Vidua interjecta,Exclamatory Paradise-Whydah,ltpwhy1
Vidua togoensis,Togo Paradise-Whydah,topwhy1
Vidua obtusa,Broad-tailed Paradise-Whydah,btpwhy1
Vidua paradisaea,Eastern Paradise-Whydah,eapwhy1
Vidua hypocherina,Steel-blue Whydah,stbwhy1
Vidua fischeri,Straw-tailed Whydah,sttwhy1
Vidua regia,Shaft-tailed Whydah,shtwhy1
Vidua chalybeata,Village Indigobird,vilind
Vidua wilsoni,Wilson's Indigobird,pawind1
Vidua nigeriae,Quailfinch Indigobird,quaind1
Vidua maryae,Jos Plateau Indigobird,jopind1
Vidua raricola,Jambandu Indigobird,jamind1
Vidua larvaticola,Barka Indigobird,bakind1
Vidua camerunensis,Cameroon Indigobird,camind1
Vidua funerea,Dusky Indigobird,varind1
Vidua purpurascens,Purple Indigobird,purind1
Vidua codringtoni,Green Indigobird,greind1
Anomalospiza imberbis,Parasitic Weaver,parwea1
Prunella collaris,Alpine Accentor,alpacc1
Prunella himalayana,Altai Accentor,himacc1
Prunella rubeculoides,Robin Accentor,robacc1
Prunella strophiata,Rufous-breasted Accentor,rubacc1
Prunella montanella,Siberian Accentor,sibacc
Prunella ocularis,Radde's Accentor,radacc2
Prunella fulvescens,Brown Accentor,broacc1
Prunella atrogularis,Black-throated Accentor,bltacc1
Prunella koslowi,Mongolian Accentor,monacc1
Prunella modularis,Dunnock,dunnoc1
Prunella rubida,Japanese Accentor,japacc1
Prunella immaculata,Maroon-backed Accentor,mabacc1
Hypocryptadius cinnamomeus,Cinnamon Ibon,cinwhe1
Passer ammodendri,Saxaul Sparrow,saxspa1
Passer domesticus,House Sparrow,houspa
Passer italiae,Italian Sparrow,itaspa1
Passer hispaniolensis,Spanish Sparrow,spaspa1
Passer pyrrhonotus,Sind Sparrow,sinspa1
Passer castanopterus,Somali Sparrow,somspa1
Passer cinnamomeus,Russet Sparrow,russpa2
Passer flaveolus,Plain-backed Sparrow,plbspa1
Passer moabiticus,Dead Sea Sparrow,desspa1
Passer iagoensis,Cape Verde Sparrow,cavspa1
Passer hemileucus,Abd al Kuri Sparrow,aakspa1
Passer insularis,Socotra Sparrow,socspa1
Passer motitensis,Great Rufous Sparrow,grrspa1
Passer rufocinctus,Kenya Rufous Sparrow,kerspa2
Passer shelleyi,Shelley's Rufous Sparrow,shrspa1
Passer cordofanicus,Kordofan Rufous Sparrow,korspa1
Passer melanurus,Cape Sparrow,capspa1
Passer griseus,Northern Gray-headed Sparrow,gyhspa1
Passer swainsonii,Swainson's Sparrow,swaspa2
Passer gongonensis,Parrot-billed Sparrow,pabspa1
Passer suahelicus,Swahili Sparrow,swaspa1
Passer diffusus,Southern Gray-headed Sparrow,sghspa2
Passer simplex,Desert Sparrow,desspa3
Passer zarudnyi,Zarudny's Sparrow,desspa4
Passer montanus,Eurasian Tree Sparrow,eutspa
Passer luteus,Sudan Golden Sparrow,sugspa1
Passer euchlorus,Arabian Golden Sparrow,argspa2
Passer eminibey,Chestnut Sparrow,chespa1
Gymnoris pyrgita,Yellow-spotted Bush Sparrow,yespet1
Gymnoris xanthocollis,Yellow-throated Sparrow,chspet1
Gymnoris superciliaris,Yellow-throated Bush Sparrow,yetpet1
Gymnoris dentata,Sahel Bush Sparrow,buspet1
Petronia petronia,Rock Sparrow,rocpet1
Carpospiza brachydactyla,Pale Rockfinch,palroc1
Montifringilla nivalis,White-winged Snowfinch,whwsno1
Montifringilla henrici,Tibetan Snowfinch,tibsno2
Montifringilla adamsi,Black-winged Snowfinch,blwsno1
Onychostruthus taczanowskii,White-rumped Snowfinch,whrsno1
Pyrgilauda davidiana,Pere David's Snowfinch,pedsno1
Pyrgilauda ruficollis,Rufous-necked Snowfinch,runsno1
Pyrgilauda blanfordi,Blanford's Snowfinch,blasno1
Pyrgilauda theresae,Afghan Snowfinch,afgsno1
Dendronanthus indicus,Forest Wagtail,forwag1
Motacilla capensis,Cape Wagtail,capwag1
Motacilla clara,Mountain Wagtail,mouwag1
Motacilla bocagii,Sao Tome Short-tail,boclon2
Motacilla flaviventris,Madagascar Wagtail,madwag1
Motacilla cinerea,Gray Wagtail,grywag
Motacilla flava,Western Yellow Wagtail,eaywag1
Motacilla tschutschensis,Eastern Yellow Wagtail,eaywag
Motacilla citreola,Citrine Wagtail,citwag
Motacilla maderaspatensis,White-browed Wagtail,whbwag1
Motacilla samveasnae,Mekong Wagtail,mekwag1
Motacilla grandis,Japanese Wagtail,japwag1
Motacilla aguimp,African Pied Wagtail,afpwag1
Motacilla alba,White Wagtail,whiwag
Anthus australis,Australian Pipit,auspip2
Anthus novaeseelandiae,New Zealand Pipit,auspip3
Anthus richardi,Richard's Pipit,ricpip1
Anthus rufulus,Paddyfield Pipit,oripip1
Anthus cinnamomeus,African Pipit,afrpip1
Anthus hoeschi,Mountain Pipit,moupip1
Anthus nyassae,Woodland Pipit,woopip1
Anthus similis,Long-billed Pipit,lobpip1
Anthus nicholsoni,Nicholson's Pipit,lobpip7
Anthus godlewskii,Blyth's Pipit,blypip1
Anthus campestris,Tawny Pipit,tawpip1
Anthus leucophrys,Plain-backed Pipit,plbpip1
Anthus vaalensis,Buffy Pipit,bufpip1
Anthus pallidiventris,Long-legged Pipit,lolpip1
Anthus nilghiriensis,Nilgiri Pipit,nilpip1
Anthus sylvanus,Upland Pipit,uplpip1
Anthus berthelotii,Berthelot's Pipit,berpip1
Anthus melindae,Malindi Pipit,malpip1
Anthus lineiventris,Striped Pipit,strpip1
Anthus crenatus,Yellow-tufted Pipit,yetpip1
Anthus ruficollis,Madanga,rtweye1
Anthus gutturalis,Alpine Pipit,alppip1
Anthus pratensis,Meadow Pipit,meapip1
Anthus roseatus,Rosy Pipit,rospip1
Anthus trivialis,Tree Pipit,trepip
Anthus hodgsoni,Olive-backed Pipit,olbpip
Anthus gustavi,Pechora Pipit,pecpip
Anthus cervinus,Red-throated Pipit,retpip
Anthus spinoletta,Water Pipit,watpip1
Anthus petrosus,Rock Pipit,rocpip1
Anthus japonicus,Siberian Pipit,sibpip1
Anthus rubescens,American Pipit,amepip
Anthus spragueii,Sprague's Pipit,sprpip
Anthus chii,Yellowish Pipit,yelpip2
Anthus peruvianus,Peruvian Pipit,yelpip3
Anthus brevirostris,Puna Pipit,shbpip3
Anthus furcatus,Short-billed Pipit,shbpip1
Anthus chacoensis,Pampas Pipit,chapip1
Anthus correndera,Correndera Pipit,corpip1
Anthus antarcticus,South Georgia Pipit,sogpip1
Anthus nattereri,Ochre-breasted Pipit,ocbpip1
Anthus hellmayri,Hellmayr's Pipit,helpip1
Anthus bogotensis,Paramo Pipit,parpip1
Anthus brachyurus,Short-tailed Pipit,shtpip1
Anthus caffer,Bush Pipit,buspip1
Anthus sokokensis,Sokoke Pipit,sokpip1
Tmetothylacus tenellus,Golden Pipit,golpip1
Hemimacronyx chloris,Yellow-breasted Pipit,yebpip2
Macronyx sharpei,Sharpe's Longclaw,shalon1
Macronyx capensis,Orange-throated Longclaw,ortlon1
Macronyx croceus,Yellow-throated Longclaw,yetlon1
Macronyx fuelleborni,Fülleborn's Longclaw,fuelon2
Macronyx flavicollis,Abyssinian Longclaw,abylon1
Macronyx aurantiigula,Pangani Longclaw,panlon1
Macronyx ameliae,Rosy-throated Longclaw,rotlon1
Macronyx grimwoodi,Grimwood's Longclaw,grilon1
Fringilla coelebs,Common Chaffinch,comcha
Fringilla moreletti,Azores Chaffinch,comcha16
Fringilla maderensis,Madeira Chaffinch,comcha17
Fringilla canariensis,Canary Islands Chaffinch,caicha1
Fringilla spodiogenys,African Chaffinch,afrcha1
Fringilla teydea,Tenerife Blue Chaffinch,blucha2
Fringilla polatzeki,Gran Canaria Blue Chaffinch,blucha3
Fringilla montifringilla,Brambling,brambl
Chlorophonia elegantissima,Elegant Euphonia,eleeup1
Chlorophonia musica,Hispaniolan Euphonia,anteup2
Chlorophonia sclateri,Puerto Rican Euphonia,anteup3
Chlorophonia flavifrons,Lesser Antillean Euphonia,anteup4
Chlorophonia cyanocephala,Golden-rumped Euphonia,goreup1
Chlorophonia cyanea,Blue-naped Chlorophonia,blnchl1
Chlorophonia pyrrhophrys,Chestnut-breasted Chlorophonia,chbchl1
Chlorophonia flavirostris,Yellow-collared Chlorophonia,yecchl1
Chlorophonia occipitalis,Blue-crowned Chlorophonia,blcchl1
Chlorophonia callophrys,Golden-browed Chlorophonia,gobchl1
Euphonia jamaica,Jamaican Euphonia,jameup1
Euphonia saturata,Orange-crowned Euphonia,orceup1
Euphonia plumbea,Plumbeous Euphonia,plueup1
Euphonia chlorotica,Purple-throated Euphonia,puteup1
Euphonia finschi,Finsch's Euphonia,fineup1
Euphonia concinna,Velvet-fronted Euphonia,vefeup1
Euphonia trinitatis,Trinidad Euphonia,trieup1
Euphonia godmani,West Mexican Euphonia,screup3
Euphonia affinis,Scrub Euphonia,screup1
Euphonia luteicapilla,Yellow-crowned Euphonia,yeceup1
Euphonia chrysopasta,Golden-bellied Euphonia,gobeup1
Euphonia minuta,White-vented Euphonia,whveup1
Euphonia chalybea,Green-throated Euphonia,gnteup1
Euphonia violacea,Violaceous Euphonia,vioeup1
Euphonia hirundinacea,Yellow-throated Euphonia,yeteup1
Euphonia laniirostris,Thick-billed Euphonia,thbeup1
Euphonia imitans,Spot-crowned Euphonia,spceup1
Euphonia gouldi,Olive-backed Euphonia,olbeup1
Euphonia fulvicrissa,Fulvous-vented Euphonia,fuveup1
Euphonia anneae,Tawny-capped Euphonia,taceup1
Euphonia xanthogaster,Orange-bellied Euphonia,orbeup1
Euphonia mesochrysa,Bronze-green Euphonia,brgeup1
Euphonia cayennensis,Golden-sided Euphonia,goseup1
Euphonia rufiventris,Rufous-bellied Euphonia,rubeup1
Euphonia pectoralis,Chestnut-bellied Euphonia,chbeup1
Mycerobas icterioides,Black-and-yellow Grosbeak,baygro1
Mycerobas affinis,Collared Grosbeak,colgro1
Mycerobas melanozanthos,Spot-winged Grosbeak,spwgro1
Mycerobas carnipes,White-winged Grosbeak,whwgro1
Hesperiphona abeillei,Hooded Grosbeak,hoogro1
Hesperiphona vespertina,Evening Grosbeak,evegro
Coccothraustes coccothraustes,Hawfinch,hawfin
Eophona migratoria,Yellow-billed Grosbeak,yebgro1
Eophona personata,Japanese Grosbeak,japgro1
Melamprosops phaeosoma,Poo-uli,poouli
Oreomystis bairdi,Akikiki,akikik
Paroreomyza maculata,Oahu Alauahio,oahala
Paroreomyza flammea,Kakawahie,kakawa
Paroreomyza montana,Maui Alauahio,mauala
Loxioides bailleui,Palila,palila
Telespiza cantans,Laysan Finch,layfin
Telespiza ultima,Nihoa Finch,nihfin
Chloridops kona,Kona Grosbeak,kongro
Rhodacanthis flaviceps,Lesser Koa-Finch,lekfin
Rhodacanthis palmeri,Greater Koa-Finch,grkfin
Ciridops anna,Ula-ai-hawane,ulahaw
Palmeria dolei,Akohekohe,crehon
Himatione fraithii,Laysan Honeycreeper,apapan2
Himatione sanguinea,Apapane,apapan
Drepanis coccinea,Iiwi,iiwi
Drepanis pacifica,Hawaii Mamo,hawmam1
Drepanis funerea,Black Mamo,blkmam
Psittirostra psittacea,Ou,ou
Dysmorodrepanis munroi,Lanai Hookbill,lanhoo
Pseudonestor xanthophrys,Maui Parrotbill,maupar
Hemignathus hanapepe,Kauai Nukupuu,nukupu2
Hemignathus lucidus,Oahu Nukupuu,nukupu3
Hemignathus affinis,Maui Nukupuu,nukupu1
Hemignathus wilsoni,Akiapolaau,akiapo
Akialoa obscura,Lesser Akialoa,lesaki
Akialoa ellisiana,Oahu Akialoa,greaki2
Akialoa stejnegeri,Kauai Akialoa,greaki4
Akialoa lanaiensis,Maui-nui Akialoa,greaki3
Magumma parva,Anianiau,aniani
Chlorodrepanis virens,Hawaii Amakihi,hawama
Chlorodrepanis flava,Oahu Amakihi,oahama
Chlorodrepanis stejnegeri,Kauai Amakihi,kauama
Viridonia sagittirostris,Greater Amakihi,greama
Loxops mana,Hawaii Creeper,hawcre
Loxops caeruleirostris,Akekee,akekee
Loxops coccineus,Hawaii Akepa,akepa1
Loxops wolstenholmei,Oahu Akepa,akepa2
Loxops ochraceus,Maui Akepa,akepa3
Carpodacus erythrinus,Common Rosefinch,comros
Carpodacus sipahi,Scarlet Finch,scafin1
Carpodacus ferreorostris,Bonin Grosbeak,bongro1
Carpodacus rhodochlamys,Red-mantled Rosefinch,remros1
Carpodacus grandis,Blyth's Rosefinch,blyros1
Carpodacus pulcherrimus,Himalayan Beautiful Rosefinch,bearos1
Carpodacus davidianus,Chinese Beautiful Rosefinch,chbros1
Carpodacus waltoni,Pink-rumped Rosefinch,pirros1
Carpodacus edwardsii,Dark-rumped Rosefinch,darros1
Carpodacus rodochroa,Pink-browed Rosefinch,pibros2
Carpodacus rodopeplus,Spot-winged Rosefinch,spwros2
Carpodacus verreauxii,Sharpe's Rosefinch,spwros3
Carpodacus vinaceus,Vinaceous Rosefinch,vinros2
Carpodacus formosanus,Taiwan Rosefinch,vinros3
Carpodacus synoicus,Sinai Rosefinch,sinros1
Carpodacus stoliczkae,Pale Rosefinch,palros3
Carpodacus roborowskii,Tibetan Rosefinch,tibros1
Carpodacus sillemi,Sillem's Rosefinch,tahmof1
Carpodacus rubicilloides,Streaked Rosefinch,strros1
Carpodacus rubicilla,Great Rosefinch,greros1
Carpodacus sibiricus,Long-tailed Rosefinch,lotros1
Carpodacus puniceus,Red-fronted Rosefinch,refros1
Carpodacus subhimachalus,Crimson-browed Finch,crbfin3
Carpodacus roseus,Pallas's Rosefinch,palros2
Carpodacus trifasciatus,Three-banded Rosefinch,thbros1
Carpodacus thura,Himalayan White-browed Rosefinch,whbros1
Carpodacus dubius,Chinese White-browed Rosefinch,cwbros1
Pinicola enucleator,Pine Grosbeak,pingro
Pyrrhula nipalensis,Brown Bullfinch,brobul1
Pyrrhula leucogenis,White-cheeked Bullfinch,whcbul1
Pyrrhula aurantiaca,Orange Bullfinch,orabul1
Pyrrhula erythrocephala,Red-headed Bullfinch,rehbul1
Pyrrhula erythaca,Gray-headed Bullfinch,gyhbul2
Pyrrhula owstoni,Taiwan Bullfinch,gyhbul5
Pyrrhula murina,Azores Bullfinch,eurbul1
Pyrrhula pyrrhula,Eurasian Bullfinch,eurbul
Rhodopechys sanguineus,Crimson-winged Finch,crwfin2
Bucanetes githagineus,Trumpeter Finch,trufin2
Bucanetes mongolicus,Mongolian Finch,monfin2
Agraphospiza rubescens,Blanford's Rosefinch,blaros1
Pyrrhoplectes epauletta,Gold-naped Finch,gonfin1
Callacanthis burtoni,Spectacled Finch,spefin1
Procarduelis nipalensis,Dark-breasted Rosefinch,dabros1
Leucosticte nemoricola,Plain Mountain Finch,plmfin1
Leucosticte brandti,Black-headed Mountain Finch,bhmfin1
Leucosticte arctoa,Asian Rosy-Finch,asrfin1
Leucosticte tephrocotis,Gray-crowned Rosy-Finch,gcrfin
Leucosticte atrata,Black Rosy-Finch,bkrfin
Leucosticte australis,Brown-capped Rosy-Finch,bcrfin
Haemorhous mexicanus,House Finch,houfin
Haemorhous purpureus,Purple Finch,purfin
Haemorhous cassinii,Cassin's Finch,casfin
Rhodospiza obsoleta,Desert Finch,desfin2
Rhynchostruthus percivali,Arabian Grosbeak,gowgro2
Rhynchostruthus socotranus,Socotra Grosbeak,gowgro3
Rhynchostruthus louisae,Somali Grosbeak,somgro1
Chloris chloris,European Greenfinch,eurgre1
Chloris sinica,Oriental Greenfinch,origre
Chloris spinoides,Yellow-breasted Greenfinch,yebgre4
Chloris monguilloti,Vietnamese Greenfinch,viegre2
Chloris ambigua,Black-headed Greenfinch,bkhgre1
Linurgus olivaceus,Oriole Finch,orifin1
Crithagra leucopygia,White-rumped Seedeater,whrsee
Crithagra mozambica,Yellow-fronted Canary,yefcan
Crithagra citrinelloides,African Citril,afrcit1
Crithagra frontalis,Western Citril,wescit1
Crithagra hyposticta,Southern Citril,soucit1
Crithagra capistrata,Black-faced Canary,blfcan1
Crithagra koliensis,Papyrus Canary,papcan1
Crithagra scotops,Forest Canary,forcan1
Crithagra rothschildi,Arabian Serin,olrser1
Crithagra atrogularis,Black-throated Canary,bltcan1
Crithagra reichenowi,Reichenow's Seedeater,reisee2
Crithagra xanthopygia,Yellow-rumped Serin,yerser1
Crithagra citrinipectus,Lemon-breasted Seedeater,lebsee1
Crithagra dorsostriata,White-bellied Canary,whbcan1
Crithagra flavigula,Yellow-throated Serin,yetser1
Crithagra xantholaema,Salvadori's Serin,salser1
Crithagra donaldsoni,Northern Grosbeak-Canary,norgrc1
Crithagra buchanani,Southern Grosbeak-Canary,sougrc1
Crithagra sulphurata,Brimstone Canary,brican1
Crithagra flaviventris,Yellow Canary,yelcan1
Crithagra albogularis,White-throated Canary,whtcan1
Crithagra striolata,Streaky Seedeater,strsee1
Crithagra whytii,Yellow-browed Seedeater,yebsee2
Crithagra burtoni,Thick-billed Seedeater,thbsee1
Crithagra melanochroa,Kipengere Seedeater,tansee1
Crithagra rufobrunnea,Principe Seedeater,prisee1
Crithagra concolor,Sao Tome Grosbeak,satgro1
Crithagra leucoptera,Protea Canary,procan1
Crithagra mennelli,Black-eared Seedeater,blesee1
Crithagra canicapilla,West African Seedeater,sthsee3
Crithagra gularis,Streaky-headed Seedeater,sthsee2
Crithagra striatipectus,Stripe-breasted Seedeater,reisee3
Crithagra reichardi,Reichard's Seedeater,reisee4
Crithagra tristriata,Brown-rumped Seedeater,brrsee1
Crithagra menachensis,Yemen Serin,yemser1
Crithagra ankoberensis,Ankober Serin,ankser2
Crithagra totta,Cape Siskin,capsis2
Crithagra symonsi,Drakensberg Siskin,drasis2
Linaria flavirostris,Twite,twite1
Linaria cannabina,Eurasian Linnet,eurlin1
Linaria yemenensis,Yemen Linnet,yemlin1
Linaria johannis,Warsangli Linnet,warlin1
Acanthis flammea,Redpoll,redpol1
Loxia pytyopsittacus,Parrot Crossbill,parcro2
Loxia scotica,Scottish Crossbill,scocro1
Loxia curvirostra,Red Crossbill,redcro
Loxia sinesciuris,Cassia Crossbill,redcro9
Loxia megaplaga,Hispaniolan Crossbill,hiscro
Loxia leucoptera,White-winged Crossbill,whwcro
Chrysocorythus estherae,Indonesian Serin,mouser2
Chrysocorythus mindanensis,Mindanao Serin,mouser3
Carduelis carduelis,European Goldfinch,eurgol
Carduelis caniceps,Gray-crowned Goldfinch,eurgol2
Carduelis citrinella,Citril Finch,citfin1
Carduelis corsicana,Corsican Finch,corfin1
Serinus serinus,European Serin,eurser1
Serinus canaria,Island Canary,comcan
Serinus pusillus,Fire-fronted Serin,fifser1
Serinus syriacus,Syrian Serin,syrser1
Serinus flavivertex,Yellow-crowned Canary,yeccan1
Serinus canicollis,Cape Canary,capcan1
Serinus nigriceps,Ethiopian Siskin,abysis1
Serinus alario,Black-headed Canary,bkhcan2
Spinus thibetanus,Tibetan Serin,tibser1
Spinus spinus,Eurasian Siskin,eursis
Spinus pinus,Pine Siskin,pinsis
Spinus atriceps,Black-capped Siskin,blcsis1
Spinus notatus,Black-headed Siskin,blhsis1
Spinus dominicensis,Antillean Siskin,antsis1
Spinus psaltria,Lesser Goldfinch,lesgol
Spinus lawrencei,Lawrence's Goldfinch,lawgol
Spinus tristis,American Goldfinch,amegfi
Spinus spinescens,Andean Siskin,andsis1
Spinus yarrellii,Yellow-faced Siskin,yefsis1
Spinus xanthogastrus,Yellow-bellied Siskin,yebsis1
Spinus cucullatus,Red Siskin,redsis1
Spinus crassirostris,Thick-billed Siskin,thbsis1
Spinus magellanicus,Hooded Siskin,hoosis1
Spinus siemiradzkii,Saffron Siskin,safsis1
Spinus olivaceus,Olivaceous Siskin,olisis1
Spinus atratus,Black Siskin,blasis1
Spinus uropygialis,Yellow-rumped Siskin,yersis1
Spinus barbatus,Black-chinned Siskin,blcsis2
Calcarius lapponicus,Lapland Longspur,laplon
Calcarius ornatus,Chestnut-collared Longspur,chclon
Calcarius pictus,Smith's Longspur,smilon
Rhynchophanes mccownii,Thick-billed Longspur,mcclon
Plectrophenax nivalis,Snow Bunting,snobun
Plectrophenax hyperboreus,McKay's Bunting,mckbun
Rhodinocichla rosea,Rosy Thrush-Tanager,rottan2
Emberiza affinis,Brown-rumped Bunting,brrbun1
Emberiza lathami,Crested Bunting,crebun1
Emberiza melanocephala,Black-headed Bunting,blhbun1
Emberiza bruniceps,Red-headed Bunting,rehbun1
Emberiza calandra,Corn Bunting,corbun1
Emberiza fucata,Chestnut-eared Bunting,chebun2
Emberiza koslowi,Tibetan Bunting,tibbun1
Emberiza jankowskii,Rufous-backed Bunting,rubbun1
Emberiza cia,Rock Bunting,rocbun1
Emberiza godlewskii,Godlewski's Bunting,godbun1
Emberiza cioides,Meadow Bunting,meabun1
Emberiza cirlus,Cirl Bunting,cirbun1
Emberiza stewarti,White-capped Bunting,chbbun1
Emberiza citrinella,Yellowhammer,yellow2
Emberiza leucocephalos,Pine Bunting,pinbun
Emberiza buchanani,Gray-necked Bunting,gyhbun1
Emberiza cineracea,Cinereous Bunting,cinbun1
Emberiza hortulana,Ortolan Bunting,ortbun1
Emberiza caesia,Cretzschmar's Bunting,crebun2
Emberiza cabanisi,Cabanis's Bunting,cabbun1
Emberiza flaviventris,Golden-breasted Bunting,gobbun1
Emberiza poliopleura,Somali Bunting,sombun1
Emberiza capensis,Cape Bunting,capbun1
Emberiza impetuani,Lark-like Bunting,lalbun1
Emberiza socotrana,Socotra Bunting,socbun1
Emberiza tahapisi,Cinnamon-breasted Bunting,cibbun1
